


 n o d a l   c o o r d i n a t e   d a t a 


      node no.              x1               x2 
               1           0.00000000E+00   0.00000000E+00
               2           0.00000000E+00   1.00000000E+00
               3           0.00000000E+00   2.00000000E+00
               4           1.00000000E+00   0.00000000E+00
               5           1.00000000E+00   1.00000000E+00
               6           1.00000000E+00   2.00000000E+00
               7           2.00000000E+00   0.00000000E+00
               8           2.00000000E+00   1.00000000E+00
               9           2.00000000E+00   2.00000000E+00
              10           3.00000000E+00   0.00000000E+00
              11           3.00000000E+00   1.00000000E+00
              12           3.00000000E+00   2.00000000E+00
              13           4.00000000E+00   0.00000000E+00
              14           4.00000000E+00   1.00000000E+00
              15           4.00000000E+00   2.00000000E+00
              16           5.00000000E+00   0.00000000E+00
              17           5.00000000E+00   1.00000000E+00
              18           5.00000000E+00   2.00000000E+00
