


 n o d a l   c o o r d i n a t e   d a t a 


      node no.              x1               x2 
               1           0.00000000E+00   0.00000000E+00
               2           1.00000000E+02   0.00000000E+00
               3           2.00000000E+02   0.00000000E+00
               4           3.00000000E+02   0.00000000E+00
               5           4.00000000E+02   0.00000000E+00
               6           5.00000000E+02   0.00000000E+00
               7           6.00000000E+02   0.00000000E+00
               8           0.00000000E+00   1.00000000E+00
               9           1.00000000E+02   1.00000000E+00
              10           2.00000000E+02   1.00000000E+00
              11           3.00000000E+02   1.00000000E+00
              12           4.00000000E+02   1.00000000E+00
              13           5.00000000E+02   1.00000000E+00
              14           6.00000000E+02   1.00000000E+00
              15           0.00000000E+00   2.00000000E+00
              16           1.00000000E+02   2.00000000E+00
              17           2.00000000E+02   2.00000000E+00
              18           3.00000000E+02   2.00000000E+00
              19           4.00000000E+02   2.00000000E+00
              20           5.00000000E+02   2.00000000E+00
              21           6.00000000E+02   2.00000000E+00
